rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
10,10,2,OLD,20173226,패왕별희 디 오리지널,2017-03-30,1401400,0.5,97080,7.4,1338545773,160,0,0,146498,17,17,2024-04-14
1,1,0,OLD,20231677,남은 인생 10년,2023-05-24,60869440,63.3,-175897022,-74.3,3360768206,6215,-17080,-73.3,327806,490,910,2024-04-15
2,2,0,OLD,20218333,꽃다발 같은 사랑을 했다,2021-07-14,5622800,5.8,-5788830,-50.7,454651356,675,-652,-49.1,49409,114,167,2024-04-15
3,3,2,OLD,20248513,바람의 세월,2024-04-03,5619578,5.8,-4010222,-41.6,90004651,587,-264,-31,9728,20,23,2024-04-15
4,4,-1,OLD,20235838,악은 존재하지 않는다,2024-03-27,4622239,4.8,-4971900,-51.8,353174831,492,-497,-50.3,35647,51,59,2024-04-15
5,5,0,NEW,20233271,땅에 쓰는 시,2024-04-17,3717000,3.9,3717000,100,11549000,413,413,100,1428,2,2,2024-04-15
6,6,-2,OLD,20234619,로봇 드림,2024-03-13,3328839,3.5,-5688314,-63.1,346423179,351,-555,-61.3,35164,58,62,2024-04-15
7,7,-1,OLD,20235841,키메라,2024-04-03,2228400,2.3,-2472500,-52.6,82003469,226,-259,-53.4,8321,26,28,2024-04-15
8,8,0,NEW,20235145,기적의 시작,2024-02-22,1190000,1.2,1190000,100,223640752,197,197,100,26094,1,2,2024-04-15
9,9,0,OLD,20236776,비욘드 유토피아,2024-01-31,1598300,1.7,-216700,-11.9,169533099,155,-16,-9.4,17663,6,6,2024-04-15
10,10,-2,OLD,20060330,녹차의 맛,2006-11-23,1102856,1.1,-763483,-40.9,24773829,129,-64,-33.2,3307,32,35,2024-04-15
