rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
2,2,0,OLD,20140609,아메리칸 셰프,2015-01-07,28627800,19.3,7895300,38.1,435715129,3353,695,26.1,54384,61,97,2015-01-16
3,3,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,10380500,7.0,3038300,41.4,1702641465,1273,238,23,224113,20,30,2015-01-16
4,4,2,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,6133000,4.1,2400000,64.3,4461396500,1153,425,58.4,614589,17,18,2015-01-16
5,5,0,OLD,20143045,내일을 위한 시간,2015-01-01,8104600,5.5,2158000,36.3,232435000,987,192,24.2,28424,38,54,2015-01-16
6,6,-2,OLD,20142142,이별까지 7일,2015-01-15,4545457,3.1,-2238043,-33,19655657,600,-386,-39.1,2630,41,70,2015-01-16
7,7,0,NEW,20145202,생각보다 맑은,2015-01-22,2754000,1.9,2754000,100,3888000,459,459,100,585,2,2,2015-01-16
8,8,-1,OLD,20149269,아이 킬드 마이 마더,2015-01-15,3172000,2.1,-1314000,-29.3,8927086,381,-246,-39.2,1213,15,19,2015-01-16
9,9,1,OLD,20144481,타임 패러독스,2015-01-07,3182700,2.1,972800,44,624820208,365,84,29.9,79477,14,21,2015-01-16
10,10,-2,OLD,20141621,마미,2014-12-18,2980500,2.0,-734500,-19.8,398119600,344,-119,-25.7,50346,13,15,2015-01-16
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,126140100,48.9,62535400,98.3,36838487979,15677,7404,89.5,4730014,255,454,2015-01-17
2,2,0,OLD,20140609,아메리칸 셰프,2015-01-07,47855800,18.6,19228000,67.2,483570929,5588,2235,66.7,59972,56,93,2015-01-17
3,3,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,17689500,6.9,7309000,70.4,1720330965,2229,956,75.1,226342,21,33,2015-01-17
4,4,1,OLD,20143045,내일을 위한 시간,2015-01-01,15087700,5.9,6983100,86.2,247522700,1778,791,80.1,30202,34,51,2015-01-17
5,5,1,OLD,20142142,이별까지 7일,2015-01-15,6650749,2.6,2105292,46.3,26306406,872,272,45.3,3502,42,66,2015-01-17
6,6,4,OLD,20141621,마미,2014-12-18,5950000,2.3,2969500,99.6,404069600,690,346,100.6,51036,13,18,2015-01-17
7,7,5,OLD,20143921,나의 사적인 여자친구,2015-01-08,4278700,1.7,2100200,96.4,59044100,525,268,104.3,7439,23,27,2015-01-17
8,8,0,OLD,20149269,아이 킬드 마이 마더,2015-01-15,4394000,1.7,1222000,38.5,13321086,519,138,36.2,1732,13,17,2015-01-17
9,9,0,OLD,20144481,타임 패러독스,2015-01-07,4340200,1.7,1157500,36.4,629160408,489,124,34,79966,10,13,2015-01-17
