Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Type,release_date_parsed,Korea,Title_Korea,Type_New
The Box // 더 박스,No,0,0.0,90353.0,5.6,"Short, Comedy",0,A big-box store worker reinvents her life and her life-story and shows Madison Avenue what street smarts can do.,Movie,,1,더 박스,Movie
Catch! Teenieping: Twinkle Catch! Teenieping // 캐치! 티니핑: 반짝반짝 캐치! 티니핑,Yes,2023-03-31,45600000.0,4187.0,5.5,"Animation, Action, Adventure","father,mother,city,new york,home","During her birthday week, a young female party planner unfortunately dies. Now she must assist a specific selection of people who were in her life in order to move herself to the Above (or Heaven).",Movie,2023-03-31,1,캐치! 티니핑: 반짝반짝 캐치! 티니핑,Movie
Exit // 엑시트,No,2022-08-26,32100000.0,50326.0,5.5,"Comedy, Music","anorexia,eating disorder,reference to tumblr,sketch artist,sister sister relationship",Bug friends Red and Yellow leave the island behind and go to the big city.,Movie,2022-08-26,1,엑시트,Movie
Men on a Mission: 2022 // 아는 형님: 2022,Yes,2020-08-14,20700000.0,14462.0,5.5,Comedy,"gay teenager,gay kiss,homophobia,boarding school,falling in love","The story of Dylan Pettersson, a 23 year old girl from a small island in the Swedish archipelago with big dancing aspirations.",Movie,2020-08-14,1,아는 형님: 2022,Movie
Gogo Dino Explorers 1 // 고고다이노 공룡탐험대 1,No,2022-01-19,10200000.0,6886.0,5.5,Comedy,"tv special,stand up comedy,stand up comedy special","In a small town on Christmas Eve, a snowstorm brings together a group of young people.",Movie,2022-01-19,1,고고다이노 공룡탐험대 1,Movie
Sisyphus: Season 1 // 시지프스: The Myth: 시즌 1,Yes,2020-06-05,9900000.0,72.0,5.5,Short,"tennis sport,tennis","A hypothetical married Polish couple arrives in New York in the early 1840&apos;s and walks to Ohio where they settle and prosper and raise children. The man loses an arm in the Civil war, and with every new war, also loses members of ...",TV Show,2020-06-05,1,시지프스: The Myth: 시즌 1,TV Show
Into the Wilderness // 나는 자연인이다,No,2020-01-04,9400000.0,10206.0,5.5,"Action, Drama, History","thief,master thief,criminal as protagonist,female criminal,carmen sandiego","Kevin James is back with a new stand-up special dishing on parenting, allergies, his fans, and more.",Movie,2020-01-04,1,나는 자연인이다,Movie
My Liberation Notes: Season 1 // 나의 해방일지: 시즌 1,Yes,2016-09-23,8800000.0,4510.0,5.5,"Animation, Short, Adventure","my little pony,cgi animation,magical,friendship,horse","When Pol enrolls in university in pursuit of a philosophy degree, he&apos;s challenged and enticed by new friends and an intimidating professor.",TV Show,2016-09-23,1,나의 해방일지: 시즌 1,TV Show
Love Revolution: Season 1 // 연애혁명: 시즌 1,No,2017-10-20,8700000.0,16080.0,5.5,"Action, Adventure, Comedy","tv special,stand up comedy,stand up special,stand up comedy special","Narrated by Chuck D, Freestyle 101: Hip-Hop History explores the genre&apos;s early days through the lens of freestyle rap, featuring legendary artists discussing the history and intricacies of rapping with musical performances through...",TV Show,2017-10-20,1,연애혁명: 시즌 1,TV Show
Pinkfong & Hogi Dance Dance: Season 1 // 핑크퐁과 호기 댄스댄스: 시즌1,No,2021-11-26,7700000.0,42538.0,5.5,"Animation, Action, Adventure",detective,"After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place.",TV Show,2021-11-26,1,핑크퐁과 호기 댄스댄스: 시즌1,TV Show
Twogether: Season 1 // 투게더: 시즌 1,Yes,2021-07-09,6200000.0,30.0,5.5,"Comedy, Horror, Mystery","domestic drama,criminal,mother son relationship,black american,african american","Two haunted family men join forces in a destructive crusade to rescue their families from a tropical paradise, after becoming convinced that an American timeshare conglomerate has a sinister plan to take their loved ones away.",TV Show,2021-07-09,1,투게더: 시즌 1,TV Show
Arthdal Chronicles: Season 1 // 아스달 연대기: 시즌 1,Yes,2018-01-12,4800000.0,14099.0,5.5,Thriller,"earthling,advisor,alien,alien creature,alien emperor","Five best friends face adventures side by side in their hometown. Zany antics, love and missteps are better with friends.",TV Show,2018-01-12,1,아스달 연대기: 시즌 1,TV Show
A Clean Sweep: Part 1 // 최강야구: Part 1,Yes,2022-05-25,3300000.0,4005.0,5.5,"Drama, Romance","jungle adventure,crash landing,elderly couple,no greater love,remade",Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.,Movie,2022-05-25,1,최강야구: Part 1,Movie
Sweet Revenge: Season 1 // 복수노트: 시즌 1,No,2018-10-19,2700000.0,4187.0,5.5,Comedy,"artificial intelligence,addiction,brothel,robot,memory",Participants try to convince a jury that their new restaurant ideas could work.,TV Show,2018-10-19,1,복수노트: 시즌 1,TV Show
The Berlin File // 베를린,No,2021-10-15,2600000.0,2226.0,5.5,Comedy,"year 2014,malaysia airlines flight mh370,airplane,investigation,missing","Alice is heartbroken and hopelessly single. But after befriending a charismatic astrology guru, she looks to the stars to find her perfect match.",Movie,2021-10-15,1,베를린,Movie
